player,total_points,games_played,unique_usage
A. Christensen,1,1,1
A. F. Carreras,23,1,1
Aarón,89,6,1
Abqar,17,1,1
Adams,32,2,1
Agirrezabala,33,3,1
Akhomach,0,1,1
Alexander-Arnold,15,1,1
Alexis,0,1,1
Almada,24,2,1
Alvarez,20,2,1
Alvaro R.,25,3,1
André Silva,17,1,1
Antony,19,2,1
Arambarri,16,1,1
Azpilicueta,0,1,1
Baena,27,2,1
Balde,8,1,1
Barrenetxea,18,2,1
Barrios,10,1,1
Bellingham,55,3,1
Beltrán,8,2,1
Berenguer,17,1,1
Blind,9,1,1
Boyomo,32,2,1
Brahim,16,2,1
Brais,13,2,1
Bryan,13,2,1
Buchanan,9,1,1
Budimir,60,4,1
Cabrera,38,3,1
Calero,8,1,1
Camavinga,10,1,1
Carlos Vicente,8,1,1
Catena,101,4,1
Cazorla,4,1,1
Chaira,4,1,1
Colombatto,10,1,1
Comesaña,16,1,1
Copete,2,1,1
Courtois,37,3,1
Cucho,19,1,1
Cuñat Campos,50,1,1
D. Duarte,0,1,1
Danjuma,5,1,1
Darder,19,1,1
De Frutos,27,4,1
De la Fuente,23,3,1
Dimitrievski,9,1,1
Djené,14,1,1
Dolan,6,2,1
Edu Expósito,13,2,1
Ejuke,6,2,1
Elgezabal,9,1,1
Etta Eyong,29,3,1
Febas,15,1,1
Fer López,6,1,1
Fermín,8,1,1
Forés,12,2,1
Foyth,35,3,1
Fran Pérez,12,1,1
Galán,31,2,1
Garcés,11,1,1
Gerard,12,1,1
Giménez,2,2,1
Giuliano,20,2,1
Griezmann,2,1,1
Guedes,28,2,1
Guruzeta,2,1,1
Güler,13,1,1
Hancko,3,1,1
Hassan,18,2,1
Herrera,2,1,1
Iglesias,18,2,1
Isi,1,1,1
Javi Guerra,8,1,1
Jon Martín,-1,1,1
Jonny,-1,1,1
Jorge Cabello,4,1,1
Joseph,6,1,1
Kubo,12,1,1
Lago,12,1,1
Le Normand,2,1,1
Lejeune,17,2,1
Lemar,5,1,1
Lenglet,3,1,1
Leo Román,38,2,1
Lewandowski,37,3,1
Liso,2,1,1
Lo Celso,77,4,1
Losada,33,3,1
Luis Milla,16,1,1
Luiz Felipe,4,1,1
M. Alonso,11,1,1
Martim Neto,9,1,1
Mbappé,93,4,1
Mendoza,6,1,1
Mendy,23,2,1
Mestanza,12,2,1
Mikautadze,8,1,1
Militão,51,3,1
Mingueza,1,1,1
Moleiro,80,5,1
Moncayola,12,1,1
Mouriño,38,3,1
Muriqi,53,4,1
Oblak,7,1,1
Ounahi,13,1,1
Oyarzabal,13,1,1
Pablo García,6,1,1
Pablo Martínez,7,1,1
Pablo Torre,9,1,1
Pacheco,9,2,1
Paredes,22,2,1
Pau Navarro,3,1,1
Pedri,22,1,1
Pepelu,45,3,1
Pubill,28,2,1
Pépé,20,1,1
Radu,32,2,1
Rafa Marín,23,1,1
Rafa Mir,33,3,1
Raphinha,0,1,1
Rashford,33,3,1
Raíllo,18,1,1
Raúl García,21,2,1
Reina,10,1,1
Riedel,-3,1,1
Ristic,-1,1,1
Roberto,10,1,1
Roca,35,3,1
Rondón,1,1,1
Rosier,27,2,1
S. Amrabat,10,1,1
Sannadi,10,1,1
Selton,3,1,1
Serrano,8,1,1
Sivera,10,1,1
Solomon,10,1,1
Sow,5,1,1
Starfelt,30,2,1
Swedberg,12,2,1
Sörloth,37,2,1
Tenaglia,17,2,1
Tsygankov,34,3,1
Tárrega,2,1,1
Ugrinic,0,1,1
Unai Simón,25,2,1
Valera,59,4,1
Valjent,13,1,1
Valverde,30,2,1
Vanat,15,5,1
Vargas,18,1,1
Veiga,11,2,1
Virgili,30,3,1
Vitor Reis,16,2,1
Vivian,19,2,1
Viñas,-1,1,1
Vlachodimos,49,2,1
Yamal,61,3,1
Yéremi,14,1,1
Á. Núñez,0,1,1
Álex Moreno,5,2,1
Álvaro García,16,1,1
