player,total_points,games_played,unique_usage
Abner,10,1,1
Abu Fani,29,2,1
Altimira,5,1,1
Antony,31,3,1
Asensio,14,1,1
Aspas,7,1,1
Assignon,11,1,1
Bakasetas,11,1,1
Bedia,1,1,1
Bernardeschi,-2,1,1
Billing,30,2,1
Bonmann,17,1,1
Caio Vidal,8,1,1
Diouf,6,1,1
Doski,5,1,1
Dweh,69,4,1
Dyngeland,10,1,1
El Ouahdi,84,4,1
Ellborg,14,1,1
Elsnik,0,1,1
Emi Buendía,15,1,1
En Nesyri,2,1,1
Engels,23,1,1
Fofana,14,1,1
Fornals,8,1,1
Franculino,21,1,1
Gartenmann,0,1,1
Grifo,10,1,1
Günter,19,1,1
Haraldsson,25,2,1
Heymans,71,3,1
Heynen,20,1,1
Hitz,7,1,1
Hudson-Odoi,12,1,1
Ian Maatsen,26,3,1
Katai,-3,1,1
Kotsiras,12,1,1
Lo Celso,30,2,1
Makreckis,6,1,1
Malen,24,1,1
Matanovic,23,1,1
Matheus,13,1,1
Mbabu,14,1,1
Miranda,58,4,1
Mittelstädt,29,2,1
Moreira,36,2,1
N. Williams,8,1,1
Ngoy,0,1,1
O. Christensen,3,1,1
Omorodion,3,1,1
Orsolini,8,1,1
Pellegrini,19,1,1
Perraud,13,1,1
Riquelme,9,1,1
Rodrigão,16,1,1
Ruibal,10,1,1
Sancho,10,2,1
Scherhant,17,1,1
Schmeichel,27,2,1
Shaqiri,41,1,1
Simsir,7,1,1
Soulé,14,1,1
Stanic,53,3,1
Steijn,20,1,1
Stiller,13,2,1
Sulc,10,1,1
Suzuki,6,1,1
Swedberg,22,1,1
Swiderski,13,1,1
Talisca,43,3,1
Tavernier,10,1,1
Tetê,13,1,1
Tolisso,13,1,1
Treu,8,1,1
Ueda,22,2,1
Undav,57,4,1
Valentín Gómez,11,1,1
Vanhoutte,9,1,1
Varga,26,3,1
Veiga,27,2,1
Verdonk,8,1,1
Vydra,21,1,1
Zalazar,18,1,1
Zivkovic,13,1,1
Ólafsson,29,2,1
