player,total_points,games_played,unique_usage
Abde,12,1,1
Aktürkoglu,34,3,1
Antony,43,3,1
Aspas,7,1,1
Assignon,11,1,1
Benito,-5,1,1
Bonmann,17,1,1
Bright Arrey-Mbi,13,1,1
Cadu,14,2,1
D. Llorente,-1,1,1
De Busser,15,1,1
Diao,2,1,1
Digne,15,1,1
Doski,5,1,1
Dweh,89,5,1
Dyngeland,23,2,1
E. Martínez,18,1,1
El Khannouss,25,1,1
El Ouahdi,57,3,1
Emi Buendía,30,2,1
En Nesyri,2,1,1
Endrick,24,2,1
Engels,23,1,1
Fofana,8,2,1
Fornals,8,1,1
Franculino,21,1,1
Ghilardi,0,1,1
Gibbs-White,4,1,1
Ginter,43,2,1
Grifo,61,4,1
Grillitsch,19,1,1
Gróf,-5,1,1
Gül,4,1,1
Haraldsson,33,3,1
Heymans,72,3,1
Hornicek,14,1,1
Hrosovsky,16,1,1
Hudson-Odoi,20,2,1
Ian Maatsen,31,2,1
Igamane,3,1,1
Igor Jesus,1,1,1
João Mário,2,1,1
Karetsas,17,1,1
Konsa,21,2,1
Kornvig,7,1,1
Kostov,10,1,1
Lagerbielke,-4,1,1
Malen,24,1,1
Manzambi,11,1,1
Matanovic,31,3,1
McGinn,6,1,1
Mingueza,-1,1,1
Miranda,58,4,1
Mittelstädt,29,2,1
Moussa,24,1,1
N. Williams,0,1,1
Nauber,-3,1,1
Ndoye,6,1,1
Niakhaté,31,3,1
Ola Aina,16,1,1
Olaru,11,1,1
Omorodion,21,3,1
Pau Torres,1,1,1
Pellegrini,45,1,1
R. Horta,27,2,1
Ratkov,5,1,1
Rodrigão,16,1,1
Rosengren,13,1,1
Rowe,59,3,1
Scherhant,17,1,1
Shaqiri,41,1,1
Soulé,25,2,1
Stanic,105,5,1
Sulc,10,1,1
Suzuki,13,2,1
Svilar,13,2,1
Swedberg,13,1,1
Sörensen,14,1,1
Taborda,32,2,1
Talisca,3,1,1
Tavernier,21,2,1
Tetteh,8,1,1
Tetê,55,3,1
Tielemans,30,2,1
Tolisso,8,1,1
Undav,40,3,1
Valente,16,1,1
Valles,0,1,1
Veiga,54,3,1
Wiegele,20,1,1
Yüksek,15,1,1
Zalazar,27,2,1
Zaroury,4,1,1
Zivkovic,17,2,1
Özer,14,3,1
